store,sku,name,brand,category,quantity_value,quantity_unit,pack_size,price_eur,price_bgn
Kaufland,01003145,Саяна Кашкавал от краве мляко от свежата витрина,Саяна,Млечни продукти,,,,9.2,17.99
Kaufland,00033614,LACRIMA Сирене от краве мляко,,Млечни продукти,,,,8.68,16.98
Kaufland,20715182,PHILADELPHIA Крема сирене различни видове,Philadelphia,Млечни продукти,,,,5.87,11.48
Kaufland,00091979,Алфатар Заквасена сметана,,Други,,,,2.04,3.99
Kaufland,20273043,ДИМИТЪР МАДЖАРОВ Кашкавал Златна селекция от краве мляко,Маджаров,Млечни продукти,,,,5.62,10.99
Kaufland,20768569,CASTELLO Селекция сирена,Castello,Други,,,,6.64,12.99
Kaufland,20817669,FIVEPI Маскарпоне Италия,,Други,,,,5.36,10.48
Kaufland,20858746,HOCHLAND Топено сирене с гауда Paw Patrol,Hochland,Млечни продукти,,,,2.55,4.99
Kaufland,20892183,БРЕЙ! Гюбек натурален,Брей!,Други,,,,9.2,17.99
Kaufland,00080544,ЙОВЧЕВ Домашно кисело мляко,,Млечни продукти,,,,2.29,4.48
Kaufland,00032247,САМИ-М Пръчици с кашкавал замразени,,Млечни продукти,,,,1.72,3.36
Kaufland,20808852,"CRETA FARMS Пилешки хапки замразени, панирани",,Замразени,,,,1.53,2.99
Kaufland,00095004,Фамилия Минибанички замразени,,Замразени,,,,3.57,6.98
Kaufland,00026662,Пуйка замразена,,Замразени,,,,4.59,8.98
Kaufland,00100606,Булкарто Бланширани картофи,,Плодове и зеленчуци,,,,3.57,6.98
Kaufland,00801831,Сами-М Топчета за супа,,Други,,,,2.04,3.99
Kaufland,20712833,FAMILIA Collection Сладолед различни вкусове,,Сладкарски изделия,,,,3.19,6.24
Kaufland,00065879,FAMILIA Collection Сладолед различни вкусове,,Сладкарски изделия,,,,3.19,6.24
Kaufland,00078649,Penelope Набор за супа патешки,,Други,,,,1.53,2.99
Kaufland,00111091,Данел Сафрид замразен,,Замразени,,,,2.55,4.99
Kaufland,20912675,PRIMOFISH Хек чистен замразен,,Замразени,,,,2.99,5.85
Kaufland,00082669,Реколта Кисели краставички,,Други,,,,1.02,1.99
Kaufland,01003681,Черни маслини Мамут от свежата витрина,,Консерви,,,,3.57,6.98
Kaufland,01003882,Маслини Гръцка салата от свежата витрина,,Плодове и зеленчуци,,,,4.08,7.98
Kaufland,00104622,Маслини Каламата екстра от свежата витрина,,Консерви,,,,6.13,11.99
Kaufland,00038883,Натурални маслини Супер Колосал,,Консерви,,,,3.83,7.49
Kaufland,20888474,K-CLASSIC Бургер от говеждо месо различни видове,K-Classic,Месо и колбаси,,,,2.55,4.99
Kaufland,00078037,K-Classic Лазаня Болонезе,K-Classic,Паста и тестени,,,,5.11,9.99
Kaufland,01200130,Фамилия Точени кори,,Паста и тестени,,,,1.53,2.99
Kaufland,20904166,ХАПНИ Салата Снежанка или Руска,,Плодове и зеленчуци,,,,2.55,4.99
Kaufland,20904167,ХАПНИ Руска салата,,Плодове и зеленчуци,,,,2.55,4.99
Kaufland,00022811,Къпани кори,,Паста и тестени,,,,2.09,4.09
Kaufland,20715393,Маслини Каламата 201/260,,Консерви,,,,4.59,8.98
Kaufland,20878076,THE CHEFS Компот от белени праскови,,Плодове и зеленчуци,,,,4.59,8.98
Kaufland,20282442,Chef Carlo Сладка царевица,,Други,,,,0.81,1.58
Kaufland,20271950,"Krina Боб, Нахут или Леща",,Зърнени храни,,,,1.27,2.48
Kaufland,00032192,K-Classic Мюсли крънч различни видове,K-Classic,Зърнени храни,,,,3.06,5.98
Kaufland,03901720,Veda Оцет различни видове,,Подправки и сосове,,,,0.81,1.58
Kaufland,03901771,Del Alma Масло от гроздови семки,,Млечни продукти,,,,7.66,14.98
Kaufland,04000564,Krina Ориз,,Зърнени храни,,,,1.27,2.48
Kaufland,01300882,Хорцето Лютеница фино смляна,,Консерви,,,,1.02,1.99
Kaufland,00090832,Rois Орехи сурови,,Други,,,,1.42,2.78
Kaufland,00036012,Захира Пудра захар,,Други,,,,0.81,1.58
Kaufland,20888330,Stella Макаронени изделия избрани видове,,Други,,,,0.99,1.94
